time,key,event
1603890323.2105188,Key.shift,p
1603890323.5378249,'K',p
1603890323.6396554,'K',r
1603890323.6447737,Key.shift,r
1603890323.8401139,'-',p
1603890323.919755,'-',r
1603890324.1106951,'n',p
1603890324.1899698,'n',r
1603890324.2039313,'e',p
1603890324.283951,'a',p
1603890324.386899,'e',r
1603890324.512215,'a',r
1603890324.5219028,'r',p
1603890324.6578393,'r',r
1603890326.266058,'e',p
1603890326.3956652,'s',p
1603890326.4615786,'e',r
1603890326.551066,'s',r
1603890326.6704087,'t',p
1603890326.8100767,'t',r
1603890328.5333736,Key.space,p
1603890328.6558862,Key.space,r
1603890328.8369572,'b',p
1603890328.9478474,'b',r
1603890329.0949643,'e',p
1603890329.2378926,'e',r
1603890329.5621421,'i',p
1603890329.641685,'i',r
1603890329.723082,'g',p
1603890329.8318963,'g',r
1603890329.8601556,'h',p
1603890329.9667149,'h',r
1603890330.0952904,'b',p
1603890330.2128913,'b',r
1603890330.2955477,'o',p
1603890330.4272919,'o',r
1603890330.8838835,'t',p
1603890331.002525,'t',r
1603890331.2545693,Key.space,p
1603890331.3337345,Key.space,r
1603890331.4369135,'t',p
1603890331.541232,'o',p
1603890331.550191,'t',r
1603890331.6344717,'o',r
1603890331.7248077,Key.space,p
1603890331.7954674,Key.space,r
1603890331.9220617,'f',p
1603890332.0250146,'f',r
1603890332.2010434,'i',p
1603890332.2848775,'n',p
1603890332.3501265,'i',r
1603890332.4152315,'n',r
1603890332.6757782,'d',p
1603890332.820153,'d',r
1603890332.9167993,Key.space,p
1603890333.0071433,Key.space,r
1603890333.0682247,'a',p
1603890333.2028136,'a',r
1603890333.2252321,Key.space,p
1603890333.3190422,Key.space,r
1603890333.499531,'d',p
1603890333.6577983,'d',r
1603890333.6932874,'i',p
1603890333.7817664,'i',r
1603890333.9024525,'g',p
1603890333.983169,'r',p
1603890334.0437515,'g',r
1603890334.062954,'a',p
1603890334.1459756,'r',r
1603890334.192589,'p',p
1603890334.206592,'a',r
1603890334.2778573,'p',r
1603890334.3334088,'h',p
1603890334.4690783,'h',r
1603890334.8182087,Key.space,p
1603890334.9128308,Key.space,r
1603890335.0104277,'p',p
1603890335.1081252,'p',r
1603890335.1568205,'r',p
1603890335.2639382,'r',r
1603890335.2719054,'o',p
1603890335.36081,'o',r
1603890335.8398666,'f',p
1603890335.9569798,'i',p
1603890335.97098,'f',r
1603890336.066368,'l',p
1603890336.163896,'i',r
1603890336.1729922,'l',r
1603890336.1857886,'e',p
1603890336.3237236,'e',r
1603890336.425811,Key.space,p
1603890336.5475273,Key.space,r
1603890337.3346868,'t',p
1603890337.4312787,'t',r
1603890337.4411857,'h',p
1603890337.567043,'h',r
1603890337.8954268,'a',p
1603890338.0222814,'a',r
1603890338.126166,'t',p
1603890338.2105505,'t',r
1603890338.4110687,Key.space,p
1603890338.5198934,Key.space,r
1603890338.7603703,'i',p
1603890338.839621,'i',r
1603890338.8757074,'s',p
1603890339.0150747,'s',r
1603890339.0507953,Key.space,p
1603890339.1591809,Key.space,r
1603890339.9888542,'b',p
1603890340.1108606,'b',r
1603890340.2220485,'e',p
1603890340.3673573,'s',p
1603890340.4699755,'e',r
1603890340.5397167,'t',p
1603890340.5572417,'s',r
1603890340.6842213,'t',r
1603890340.8372216,Key.space,p
1603890340.9497385,Key.space,r
1603890341.2671092,'m',p
1603890341.3562992,'m',r
1603890341.3701632,'a',p
1603890341.4776576,'a',r
1603890341.4879284,'t',p
1603890341.5986726,'t',r
1603890341.7746718,'c',p
1603890341.8872385,'c',r
1603890341.9067788,'h',p
1603890342.0140467,'h',r
1603890342.043321,'e',p
1603890342.1496418,'e',r
1603890342.2644994,'d',p
1603890342.3939202,'d',r
1603890342.627067,'.',p
1603890342.7493663,'.',r
1603890342.8449547,Key.space,p
1603890342.95286,Key.space,r
1603890343.0618672,Key.shift,p
1603890343.1944745,'A',p
1603890343.3250854,'A',r
1603890343.3848836,Key.shift,r
1603890343.5649676,Key.space,p
1603890343.6869063,Key.space,r
1603890343.7681205,'s',p
1603890343.9125938,'s',r
1603890343.9371204,'i',p
1603890344.0076232,'m',p
1603890344.0581162,'i',r
1603890344.151537,'i',p
1603890344.1986787,'m',r
1603890344.2686331,'i',r
1603890345.093839,'l',p
1603890345.1719644,'l',r
1603890345.2041917,'a',p
1603890345.3028672,'r',p
1603890345.3398838,'a',r
1603890345.4391747,'r',r
1603890345.970939,Key.space,p
1603890346.0939538,Key.space,r
1603890346.2581694,'i',p
1603890346.3419232,'i',r
1603890346.38508,'d',p
1603890346.4638157,'d',r
1603890346.5627966,'e',p
1603890346.6888204,'e',r
1603890346.8170373,'a',p
1603890346.9472425,'a',r
1603890347.0468376,Key.space,p
1603890347.1971776,Key.space,r
1603890347.3154607,'i',p
1603890347.4089384,'i',r
1603890347.4370556,'s',p
1603890347.568207,'s',r
1603890347.5819247,Key.space,p
1603890347.698703,Key.space,r
1603890347.7829611,'u',p
1603890347.8859403,'u',r
1603890348.5879726,'s',p
1603890348.7041054,'e',p
1603890348.7696557,'s',r
1603890348.8542209,'e',r
1603890349.0496912,'d',p
1603890349.194307,'d',r
1603890349.2720182,Key.space,p
1603890349.364863,Key.space,r
1603890349.502989,'t',p
1603890349.6099293,'t',r
1603890349.6346257,'o',p
1603890349.7607658,'o',r
1603890349.8119614,Key.space,p
1603890349.9149747,Key.space,r
1603890350.0801132,'c',p
1603890350.177844,'c',r
1603890350.3116279,'r',p
1603890350.4053323,'e',p
1603890350.5308282,'a',p
1603890350.5600052,'r',r
1603890350.6016784,'e',r
1603890350.7049036,'a',r
1603890350.751527,'t',p
1603890350.8638263,'e',p
1603890350.9568717,'t',r
1603890351.012999,'e',r
1603890351.065759,Key.space,p
1603890351.196941,Key.space,r
1603890351.2567163,'a',p
1603890351.3788133,'a',r
1603890351.3918242,Key.space,p
1603890351.509042,Key.space,r
1603890351.6985343,'t',p
1603890351.7911754,'t',r
1603890351.8974338,'r',p
1603890352.0096421,'r',r
1603890352.0268378,'i',p
1603890352.1160152,'i',r
1603890352.2529025,'g',p
1603890352.3471284,'r',p
1603890352.4128666,'g',r
1603890352.4781249,'a',p
1603890352.5719411,'r',r
1603890352.670038,'a',r
1603890352.9929287,'p',p
1603890353.085103,'p',r
1603890353.1485178,'h',p
1603890353.237296,'h',r
1603890353.4820886,Key.space,p
1603890353.5767012,Key.space,r
1603890353.658734,Key.shift,p
1603890353.814568,'(',p
1603890353.8840668,Key.shift,r
1603890353.903585,'9',r
1603890354.0409205,'t',p
1603890354.120427,'t',r
1603890354.1657722,'i',p
1603890354.268885,'m',p
1603890354.3295705,'i',r
1603890354.422958,'m',r
1603890354.5198205,'e',p
1603890354.6464834,'e',r
1603890354.6641247,Key.space,p
1603890354.7545815,Key.space,r
1603890354.8624241,'b',p
1603890354.956155,'b',r
1603890355.0419786,'e',p
1603890355.1819134,'t',p
1603890355.2007701,'e',r
1603890355.3179793,'t',r
1603890355.3406043,'w',p
1603890355.470847,'e',p
1603890355.5187466,'w',r
1603890355.617138,'e',r
1603890355.7022388,'e',p
1603890355.7819471,'e',r
1603890355.8834598,'n',p
1603890355.9847424,'n',r
1603890356.3038802,Key.space,p
1603890356.3771422,Key.space,r
1603890356.4788928,'t',p
1603890356.588005,'t',r
1603890356.5970263,'h',p
1603890356.695338,'h',r
1603890356.8342657,'r',p
1603890357.0385385,'e',p
1603890357.095448,'r',r
1603890357.2028503,'e',r
1603890357.33279,'e',p
1603890357.4721272,'e',r
1603890357.7489884,Key.space,p
1603890357.8379214,Key.space,r
1603890357.941857,'c',p
1603890358.0817392,'o',p
1603890358.0982084,'c',r
1603890358.1710746,'n',p
1603890358.2257419,'o',r
1603890358.2956297,'n',r
1603890358.8838077,'s',p
1603890358.9967964,'e',p
1603890359.056701,'s',r
1603890359.1461418,'e',r
1603890359.339941,'c',p
1603890359.4798932,'c',r
1603890359.5529592,'u',p
1603890359.6326337,'u',r
1603890359.691715,'t',p
1603890359.8096292,'t',r
1603890359.8214211,'i',p
1603890359.9079993,'i',r
1603890359.9869368,'v',p
